MPN,Price_Qty,Unit_Price,MFG_Name,Supplier_Name,MFG_Lead_Time,On_Hand_Stock,Stock_Per_Price_Break,Packaging_Type,Date_Code,COO,MOQ,Currency,Main_Category,Distributor_Block,Disti_Part_Number,Region,scrape_time
PDSO-G20,,,STMicroelectronics,NXP,,30,30,,,,,,Microcontrollers and Processors,NXP,NXP,,2026-01-21 12:19
PDSO-G20,1,$988.4300,STMicroelectronics,DigiKey,4 weeks,0,0,Bulk,,,1,USD,Microcontrollers and Processors,DigiKey,1441-PDS206G-ND,,2026-01-21 12:19
PDSO-G20,5,$849.3300,STMicroelectronics,Onlinecomponentscom,,0,0,,,Mexico,,USD,Microcontrollers and Processors,Onlinecomponents.com,,,2026-01-21 12:19
PDSO-G20,3,$871.4500,STMicroelectronics,Onlinecomponentscom,,0,0,,,Mexico,,USD,Microcontrollers and Processors,Onlinecomponents.com,,,2026-01-21 12:19
PDSO-G20,1,$884.7200,STMicroelectronics,Onlinecomponentscom,,0,0,,,Mexico,,USD,Microcontrollers and Processors,Onlinecomponents.com,,,2026-01-21 12:19
68001-402HLF,,,Amphenol FCi,Verical BNL,,22000,22000,,,,,,Connectors,Verical BNL,91570635,,2026-01-21 12:19
68001-402HLF,10000,$0.0572,Amphenol FCi,DigiKey,99 weeks,41986,41986,Bag,,,1,USD,Connectors,DigiKey,609-3507-ND,,2026-01-21 12:19
68001-402HLF,5000,$0.0601,Amphenol FCi,DigiKey,99 weeks,41986,41986,Bag,,,1,USD,Connectors,DigiKey,609-3507-ND,,2026-01-21 12:19
68001-402HLF,1000,$0.0673,Amphenol FCi,DigiKey,99 weeks,41986,41986,Bag,,,1,USD,Connectors,DigiKey,609-3507-ND,,2026-01-21 12:19
68001-402HLF,,,Amphenol FCi,Avnet Asia,7 weeks,0,0,Bag,,,30000,,Connectors,Avnet Asia,68001-402HLF,,2026-01-21 12:19
68001-402HLF,,,Amphenol FCi,Verical BNL,,22000,22000,,,,,,Connectors,Verical BNL,91570635,,2026-01-21 12:19
68001-402HLF,1,$0.1100,Amphenol FCi,Mouser Electronics,,28547,28547,,,,,USD,Connectors,Mouser Electronics,649-68001-402HLF,,2026-01-21 12:19
68001-402HLF,10,$0.0930,Amphenol FCi,Mouser Electronics,,28547,28547,,,,,USD,Connectors,Mouser Electronics,649-68001-402HLF,,2026-01-21 12:19
68001-402HLF,25,$0.0860,Amphenol FCi,Mouser Electronics,,28547,28547,,,,,USD,Connectors,Mouser Electronics,649-68001-402HLF,,2026-01-21 12:19
68001-402HLF,250000,$0.0389,Amphenol FCi,Onlinecomponentscom,,22617,22617,Bulk,,France,,USD,Connectors,Onlinecomponents.com,,,2026-01-21 12:19
68001-402HLF,150000,$0.0391,Amphenol FCi,Onlinecomponentscom,,22617,22617,Bulk,,France,,USD,Connectors,Onlinecomponents.com,,,2026-01-21 12:19
68001-402HLF,100000,$0.0393,Amphenol FCi,Onlinecomponentscom,,22617,22617,Bulk,,France,,USD,Connectors,Onlinecomponents.com,,,2026-01-21 12:19
68001-402HLF,8000,$0.0501,Amphenol FCi,Verical,,22000,22000,,2434,,1000,USD,Connectors,Verical,91570635,Americas,2026-01-21 12:19
68001-402HLF,3000,$0.0536,Amphenol FCi,Verical,,22000,22000,,2434,,1000,USD,Connectors,Verical,91570635,Americas,2026-01-21 12:19
68001-402HLF,1000,$0.0876,Amphenol FCi,Verical,,22000,22000,,2434,,1000,USD,Connectors,Verical,91570635,Americas,2026-01-21 12:19
68001-402HLF,30000,$0.0490,Amphenol FCi,TTI Asia,,0,0,Bulk,,,30000,USD,Connectors,TTI Asia,68001-402HLF,Asia,2026-01-21 12:19
68001-402HLF,100,$0.0510,Amphenol FCi,TTI,,0,0,Each,,,100,USD,Connectors,TTI,68001-402HLF,Americas,2026-01-21 12:19
68001-402HLF,5000,$0.0490,Amphenol FCi,TTI,,0,0,Each,,,100,USD,Connectors,TTI,68001-402HLF,Americas,2026-01-21 12:19
68001-402HLF,10000,$0.0480,Amphenol FCi,TTI,,0,0,Each,,,100,USD,Connectors,TTI,68001-402HLF,Americas,2026-01-21 12:19
68001-402HLF,4770,$0.0303,Amphenol FCi,Quest Components,,6553,6553,,,,,USD,Connectors,Quest Components,,,2026-01-21 12:19
